Username,ISBN,Bookname,returnDate,IssueDate
mohit02,123,As you like it ,2022-02-24,2022-01-25
mohit02,235,Machine learning for all,2022-02-24,2022-01-25
mohit02,126,OOPs with C++,2022-02-24,2022-01-25
mohit02,126,OOPs with C++,2022-03-18,2022-02-16
ankush01,123,As you like it ,2022-03-18,2022-02-16
ankush01,124,Python Basic,2022-03-18,2022-02-16
ankush01,235,Machine learning for all,2022-03-18,2022-02-16
himanshu11,112,saiki,2022-03-18,2022-02-16
mohit02,342,The Commonwealth of Cricket	,2022-03-25,2022-02-23
mohit02,345,The Little Book of Encouragement,2022-03-25,2022-02-23
mohit02,232,Beautiful Things A Memoir	,2022-03-25,2022-02-23
mohit02,345,Unfinished	Priyanka ,2022-03-25,2022-02-23
mohit02,543,By Many a Happy Accident: Recollections of a Life,2022-03-25,2022-02-23
mohit02,126,OOPs with C++,2022-03-25,2022-02-23
mohit02,232,Beautiful Things A Memoir	,2022-03-25,2022-02-23
